报告日期,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30
其他流动资产(万元),4684727.0,4954511.0,5004189.0,4768326.0,4352960.0,4022394.0,3850578.0,4387017.0,3382758.0,3158199.0,2710914.0,2783360.0,2659389.0,2280224.0,1849145.0,48670.0,46311.0,175853.0,215437.0,169043.0,212925.0,66338.0,71520.0,90486.0,94146.0,40556.0,43693.0,41063,43268.0,26040,22687,40865.0,26555,20282.0,26145.0,18964,25763.0,11405,14059,9081,19767,19952
流动资产合计(万元),16981068.0,16334993.0,15213217.0,14603800.0,12062132.0,11368700.0,11683425.0,11022384.0,9336771.0,9937958.0,10760985.0,10199252.0,8642707.0,8317006.0,8539999.0,8139759.0,6532673.0,6543155.0,6217322.0,6731875.0,5556219.0,6535666.0,6615268.0,6327716.0,6004658.0,7906488.0,7501877.0,7371692,4920006.0,5287909,5028227,4512720.0,3532934,3116969.0,2695039.0,2384732,2140143.0,2446696,2630322,2220455,1831834,1468913
发放贷款及垫款(万元),1217895.0,1091846.0,1214971.0,1059981.0,1027340.0,1194098.0,1110678.0,832809.0,660871.0,603703.0,886417.0,707428.0,594080.0,743377.0,495548.0,450736.0,510009.0,398867.0,266592.0,152152.0,40951.0,194876.0,330352.0,195007.0,110854.0,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
可供出售金融资产(万元),183105.0,184601.0,187239.0,177371.0,518773.0,509758.0,576172.0,504666.0,328995.0,399895.0,225772.0,170907.0,165549.0,84463.0,101.0,103.0,107.0,79.0,73.0,84.0,78.0,5029.0,6049.0,2410.0,1581.0,444.0,102.0,105,101.0,104,103,114.0,103,72.0,1262.0,1013,749.0,987,35997,56514,98,22
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
长期应收款(万元),36225.0,37747.0,40412.0,45952.0,3387.0,3978.0,3831.0,,,,,,,,,,,,,,,,,21.0,,22.0,22.0,22,24.0,6,6,8686.0,6,0.0,0.0,0,5449.0,2325,2325,2333,2333,0
长期股权投资(万元),263370.0,282135.0,258633.0,226642.0,221173.0,290877.0,310865.0,291036.0,288827.0,95615.0,90616.0,89249.0,95187.0,93007.0,177407.0,176192.0,175580.0,170129.0,168588.0,166935.0,170977.0,177546.0,174775.0,177003.0,176775.0,164029.0,170160.0,220125,176689.0,242805,174813,190075.0,171124,49714.0,52436.0,60479,55353.0,59871,57377,47629,33017,31352
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,49514,0
投资性房地产(万元),42080.0,47416.0,48081.0,48747.0,49412.0,14041.0,14666.0,13889.0,15080.0,13884.0,14685.0,15215.0,17163.0,19684.0,14014.0,20098.0,20583.0,6363.0,8087.0,7703.0,8439.0,8827.0,9709.0,10648.0,11845.0,50794.0,51717.0,53080,53564.0,61774,35378,35885.0,36492,36774.0,37319.0,37882,41583.0,39098,50418,48082,0,32608
固定资产原值(万元),4015832.0,,3909995.0,,3621123.0,,3494581.0,,3161360.0,,3130454.0,,3132348.0,,3084470.0,,2965435.0,,,,2882650.0,,,,2446685.0,,,0,1680170.0,0,0,,1253483,0.0,0.0,0,1136376.0,0,0,0,818012,703424
累计折旧(万元),1753133.0,,1647699.0,,1513567.0,,1392820.0,,1286831.0,,1243003.0,,1178292.0,,1097826.0,,1005672.0,,,,855766.0,,,,695142.0,,,0,493876.0,0,0,,393369,0.0,0.0,0,382601.0,0,0,0,287973,224938
固定资产净值(万元),2262699.0,,2262296.0,,2107556.0,,2101761.0,,1874529.0,,1887451.0,,1954057.0,,1986644.0,,1959763.0,,,,2026884.0,,,,1751543.0,,,0,1186294.0,0,0,,860114,0.0,0.0,0,753776.0,0,0,0,530039,478486
固定资产减值准备(万元),2626.0,,1981.0,,1877.0,,1760.0,,1541.0,,1704.0,,1875.0,,3668.0,,2547.0,,,,1631.0,,,,2549.0,,,0,1852.0,0,0,,1970,0.0,0.0,0,1239.0,0,0,0,1229,1279
固定资产(万元),2260072.0,2234858.0,2260315.0,2290500.0,2105679.0,2083661.0,2100000.0,1857865.0,1872988.0,1863144.0,1885747.0,1922555.0,1952181.0,1959098.0,1982976.0,1981400.0,1957216.0,1921217.0,1958509.0,1995467.0,2025253.0,1943216.0,1847596.0,1806495.0,1748993.0,1366611.0,1298024.0,1221993,1184442.0,968821,876582,857931.0,858144,801369.0,795710.0,776057,752536.0,662047,646373,550857,528810,477207
在建工程(万元),87958.0,102070.0,88094.0,80971.0,58073.0,105056.0,104148.0,91844.0,95476.0,80667.0,67375.0,56530.0,66188.0,52803.0,41834.0,56322.0,61260.0,141792.0,154862.0,157309.0,160070.0,222348.0,302780.0,324105.0,297875.0,291437.0,243080.0,191203,146818.0,115301,117885,77545.0,63253,88902.0,84441.0,61750,73516.0,66161,47863,50270,48339,26906
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,83
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,,1785.0,1785.0,1585.0,1785.0,1785.0,1781.0,1785,1784.0,1791,1791,1790.0,1784,1830.0,2182.0,2204,1784.0,1784,2282,0,0,0
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
无形资产(万元),1516704.0,1601009.0,1631224.0,1665584.0,686854.0,598623.0,607159.0,337169.0,339240.0,333786.0,326537.0,338038.0,343196.0,346953.0,347866.0,348733.0,332574.0,353224.0,350993.0,358503.0,367219.0,361303.0,351490.0,333717.0,320128.0,258862.0,257884.0,243200,233966.0,231412,213736,212968.0,198501,189017.0,187663.0,184662,186099.0,143985,138626,116377,114187,87757
开发支出(万元),,,,,,,,,,,,,,,,,,,,,,,,254.0,,353.0,624.0,380,261.0,227,188,150.0,113,0.0,0.0,0,0.0,0,0,0,0,0
商誉(万元),2890379.0,2862023.0,2841816.0,2731473.0,573100.0,486215.0,486215.0,239307.0,239307.0,294859.0,295762.0,293179.0,293179.0,293100.0,293100.0,293100.0,293100.0,340131.0,347303.0,347303.0,347303.0,350142.0,335819.0,335784.0,329589.0,237020.0,236645.0,236673,236673.0,231202,231202,231202.0,231202,272234.0,260234.0,259307,252424.0,211112,213344,72971,72094,52952
长期待摊费用(万元),85911.0,70285.0,71245.0,64002.0,62597.0,63366.0,67338.0,72275.0,78136.0,76360.0,80369.0,84314.0,75858.0,62812.0,66196.0,65793.0,64788.0,54075.0,54710.0,57889.0,58874.0,60140.0,63584.0,66364.0,66475.0,59328.0,56137.0,50514,39479.0,38096,26751,24609.0,22332,32787.0,32725.0,33631,28236.0,23119,21855,22292,21984,14591
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,134470.0,0,0.0,0.0,0,0.0,0,0,0,0,0
递延所得税资产(万元),402333.0,381359.0,360224.0,363903.0,303038.0,289515.0,272308.0,278047.0,222400.0,300543.0,418137.0,413855.0,377999.0,353361.0,345462.0,295840.0,256720.0,229118.0,196758.0,101084.0,79221.0,87262.0,82892.0,90912.0,72245.0,64541.0,62777.0,130555,92078.0,165151,154337,,90258,84782.0,81514.0,62398,51992.0,69585,71387,61934,39902,6176
其他非流动资产(万元),61482.0,79832.0,101149.0,292494.0,415853.0,485372.0,524149.0,83776.0,66973.0,37916.0,12285.0,,,,,,,,,,,2337.0,1474.0,962.0,2566.0,,,0,10149.0,0,0,,336,0.0,0.0,0,0.0,0,0,0,0,0
非流动资产合计(万元),7829618.0,7883334.0,7888433.0,7987639.0,4997939.0,4930461.0,5066850.0,3769875.0,3547423.0,3496669.0,3417284.0,3383841.0,3386501.0,3265281.0,3268957.0,3237583.0,3161929.0,3216128.0,3239883.0,3192277.0,3217434.0,3219934.0,3177952.0,3150260.0,3029856.0,2495226.0,2378952.0,2349636,2176030.0,2056689,1832773,1775425.0,1673649,1557482.0,1535485.0,1479383,1449723.0,1280075,1287847,1029258,910277,729653
资产总计(万元),24810686.0,24218328.0,23101649.0,22591439.0,17060071.0,16299161.0,16750275.0,14792259.0,12884194.0,13434627.0,14178269.0,13583093.0,12029209.0,11582287.0,11808956.0,11377342.0,9694602.0,9759282.0,9457205.0,9924152.0,8773653.0,9755599.0,9793220.0,9477976.0,9034514.0,10401714.0,9880829.0,9721328,7096036.0,7344598,6861000,6288145.0,5206583,4674450.0,4230524.0,3864114,3589866.0,3726771,3918170,3249713,2742111,2198565
短期借款(万元),258410.0,447284.0,3239195.0,3213914.0,302443.0,473115.0,1444542.0,918000.0,392093.0,525576.0,1034661.0,823859.0,607088.0,1091469.0,1831355.0,1563464.0,887217.0,1112771.0,1144493.0,1082848.0,508209.0,865051.0,980665.0,882510.0,586943.0,690897.0,620015.0,650996,511051.0,265005,264624,218212.0,189704,221556.0,471196.0,530844,361111.0,358653,430871,460832,330533,185892
向中央银行借款(万元),,,,,,8073.0,4574.0,,,,,,,3000.0,3000.0,20000.0,8971.0,30000.0,10450.0,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
吸收存款及同业存放(万元),10893.0,15814.0,11002.0,7084.0,3671.0,5556.0,7252.0,3275.0,5200.0,7651.0,2120.0,21.0,749.0,17.0,28.0,666.0,6.0,5.0,15.0,,62.0,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
交易性金融负债(万元),,,,,,,,,,,,,,7335.0,12614.0,12573.0,1126.0,1170.0,723.0,3458.0,2207.0,1154.0,293.0,230.0,485.0,1615.0,1653.0,700,756.0,184,0,1763.0,87,0.0,39.0,918,2213.0,2086,2093,0,0,0
衍生金融负债(万元),9043.0,14677.0,4373.0,15640.0,8984.0,37622.0,46318.0,12695.0,3338.0,16597.0,15557.0,10368.0,7496.0,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
应付票据(万元),2520779.0,2302947.0,2203431.0,2028402.0,1848494.0,2154759.0,1945135.0,2163246.0,1707852.0,2373433.0,2278799.0,1852264.0,1264850.0,686806.0,575929.0,657611.0,630848.0,644122.0,820582.0,896625.0,924339.0,1145369.0,1334359.0,1014936.0,1064479.0,2029434.0,1892192.0,1248085,914912.0,1251938,1053303,752255.0,461964,396831.0,525156.0,518264,452194.0,499751,511083,448241,446412,284527
应付账款(万元),3514478.0,3258874.0,3229881.0,3239035.0,2535696.0,2132107.0,2167989.0,1948418.0,1744868.0,1712004.0,1927084.0,2072016.0,2013745.0,1833044.0,1886981.0,2125459.0,1750810.0,1649317.0,1593098.0,1804453.0,1577360.0,1708549.0,1775548.0,1905309.0,1769812.0,1719663.0,1942084.0,2372941,1606029.0,1324596,1333618,1543254.0,1396963,1182042.0,992189.0,859592,780921.0,899975,1073904,789647,727458,669532
预收账款(万元),1740906.0,1778278.0,1417059.0,1183175.0,1025238.0,661240.0,408980.0,450124.0,561636.0,364965.0,286819.0,417881.0,399254.0,581632.0,417593.0,383069.0,498335.0,433122.0,272437.0,513646.0,357015.0,298030.0,317272.0,787985.0,603197.0,463702.0,415438.0,514164,419801.0,446856,381982,405504.0,325163,299330.0,110917.0,182618,136949.0,100389,75317,86649,152641,56946
卖出回购金融资产款(万元),,,,,,,66292.0,113241.0,65178.0,51170.0,13181.0,21015.0,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
应付职工薪酬(万元),524750.0,418152.0,378959.0,335179.0,315439.0,214115.0,190373.0,132773.0,222933.0,166789.0,148634.0,120835.0,219978.0,160152.0,139457.0,110009.0,196884.0,137318.0,106204.0,92840.0,133010.0,90170.0,76636.0,80324.0,108556.0,78912.0,81269.0,77537,117196.0,68021,65235,57232.0,81653,56332.0,51342.0,49655,61157.0,56059,49382,44085,52467,21025
应交税费(万元),354415.0,281313.0,361476.0,357109.0,236445.0,279808.0,271047.0,340906.0,160718.0,254898.0,412494.0,490810.0,328015.0,238709.0,279234.0,262029.0,102802.0,195955.0,179067.0,155806.0,91764.0,12287.0,-49393.0,-83900.0,-107073.0,-9622.0,18474.0,87016,-40701.0,137045,146880,97937.0,35450,49790.0,86691.0,18961,6454.0,18006,-5850,4070,-36123,-1068
应付利息(万元),9480.0,6617.0,3556.0,9711.0,2134.0,4875.0,5497.0,1236.0,934.0,674.0,3969.0,2527.0,2291.0,5179.0,8879.0,4354.0,6982.0,15617.0,13356.0,12397.0,19014.0,26585.0,16818.0,560.0,21665.0,674.0,477.0,362,391.0,0,0,155.0,130,0.0,0.0,0,0.0,0,35125,0,0,0
应付股利(万元),9532.0,17600.0,27784.0,1444.0,10564.0,19669.0,31614.0,1231.0,11885.0,19470.0,29280.0,1170.0,9380.0,25666.0,29271.0,1076.0,9405.0,17747.0,30121.0,1217.0,7291.0,14336.0,24257.0,59.0,484.0,6593.0,16913.0,5579,4013.0,3034,13422,1011.0,366,10017.0,19591.0,28277,29838.0,30068,0,55004,5670,5637
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
其他应付款(万元),317041.0,266805.0,226209.0,196515.0,157142.0,222927.0,163879.0,148925.0,113931.0,100907.0,112080.0,139676.0,122355.0,152768.0,136149.0,185446.0,148778.0,163941.0,167742.0,232999.0,246932.0,479866.0,496858.0,225856.0,152961.0,231527.0,135013.0,144154,114976.0,82226,53113,55547.0,75455,49137.0,45960.0,47482,43463.0,46043,39582,28734,21154,22810
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,200000.0,200000,,200000,200000,200000.0,200000,0.0,0.0,0,0.0,0,0,0,0,0
一年内到期的非流动负债(万元),13661.0,11106.0,7771.0,16289.0,15855.0,5790.0,10359.0,,,,,1706.0,61190.0,69855.0,27593.0,57648.0,161737.0,335162.0,328843.0,343190.0,394483.0,251817.0,36381.0,75625.0,77522.0,145056.0,208523.0,20000,26388.0,20000,4750,18650.0,18072,0.0,0.0,0,0.0,17092,24000,0,0,0
其他流动负债(万元),2625799.0,2672382.0,2660452.0,2737904.0,2456297.0,2300038.0,2532807.0,2381644.0,2209818.0,2379446.0,2597810.0,2549701.0,2277894.0,2180459.0,2066699.0,1615217.0,1260838.0,1106851.0,998348.0,1026943.0,819330.0,1071573.0,1028197.0,855182.0,947889.0,889819.0,880279.0,848521,556114.0,929068,897182,736592.0,482724,589021.0,473219.0,379331,512878.0,531292,562336,409657,142690,236839
流动负债合计(万元),11909186.0,11491849.0,13771149.0,13341400.0,8918400.0,8519694.0,9296657.0,8615714.0,7200385.0,7973580.0,8862488.0,8503851.0,7314285.0,7036090.0,7414782.0,6998621.0,5664738.0,5843097.0,5665478.0,6166423.0,5081016.0,5964786.0,6037892.0,5744675.0,5226920.0,6448269.0,6412329.0,6170055,4230926.0,4727973,4414110,4088113.0,3267730,2854057.0,2776301.0,2615942,2387176.0,2559414,2797843,2326918,1842902,1482140
长期借款(万元),3298633.0,3307513.0,403671.0,404029.0,225435.0,211028.0,208404.0,8686.0,9006.0,742.0,1058.0,1461.0,1921.0,2291.0,68249.0,81496.0,71146.0,75357.0,140020.0,218090.0,238847.0,291651.0,249371.0,293967.0,331322.0,549256.0,186397.0,270658,227149.0,257189,271881,265001.0,260338,211780.0,155413.0,68568,70571.0,19500,16500,40500,40500,2000
应付债券(万元),455305.0,462110.0,471314.0,479617.0,481877.0,461741.0,459930.0,,,,15850.0,15576.0,15303.0,16093.0,15819.0,15545.0,15272.0,16064.0,15790.0,15517.0,114925.0,264324.0,448524.0,439934.0,447848.0,464820.0,459295.0,456125,357881.0,204788,202442,150249.0,0,0.0,0.0,0,0.0,0,0,0,0,0
长期应付款(万元),24804.0,45616.0,55478.0,46899.0,36688.0,41696.0,53188.0,,,,,,,,,,,,,,,225.0,225.0,695.0,,,,0,,0,0,5544.0,0,0.0,0.0,0,0.0,707,718,0,0,100
专项应付款(万元),250.0,250.0,250.0,250.0,241.0,50.0,50.0,50.0,50.0,11631.0,11631.0,84739.0,85183.0,85634.0,72042.0,88278.0,5207.0,207.0,255.0,866.0,1259.0,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,1451
预计非流动负债(万元),33074.0,64529.0,65439.0,34130.0,32522.0,30264.0,21922.0,3835.0,3889.0,2394.0,2598.0,2443.0,2557.0,2699.0,2603.0,2396.0,3347.0,2688.0,2758.0,2412.0,2461.0,3314.0,1970.0,1935.0,2184.0,2891.0,3355.0,2654,1992.0,5842,5520,5091.0,1121,839.0,1181.0,1854,1854.0,780,780,0,0,0
长期递延收益(万元),53644.0,64785.0,58951.0,50088.0,50232.0,47077.0,44025.0,47618.0,47935.0,36932.0,37149.0,34374.0,34224.0,,,,,,,,,,,,,,,0,,0,0,,0,,,0,,0,0,0,0,0
递延所得税负债(万元),397282.0,438143.0,451987.0,460847.0,183197.0,167577.0,168755.0,2394.0,4046.0,2286.0,2553.0,2775.0,2592.0,6631.0,5300.0,6253.0,12380.0,14442.0,10809.0,9201.0,8616.0,5247.0,2996.0,3799.0,4416.0,6667.0,4992.0,5521,7534.0,9761,8492,10591.0,8695,5389.0,6067.0,5525,5516.0,5999,6071,0,0,101
其他非流动负债(万元),99406.0,85593.0,85414.0,88517.0,88815.0,86740.0,82321.0,15719.0,15719.0,,,,,15366.0,14351.0,14264.0,14456.0,8073.0,11634.0,11540.0,9979.0,10677.0,7528.0,12071.0,7267.0,10325.0,8277.0,8476,15737.0,11482,11121,6247.0,10585,9761.0,9564.0,10645,9734.0,4677,3889,3926,1743,0
非流动负债合计(万元),4608983.0,4701105.0,1831011.0,1807013.0,1244002.0,1184731.0,1187705.0,78302.0,80646.0,53984.0,70839.0,141369.0,141778.0,128715.0,178364.0,208233.0,121808.0,116832.0,181267.0,257626.0,376088.0,575438.0,710613.0,752402.0,793037.0,1033958.0,662316.0,743434,610293.0,489061,499455,442721.0,280739,227770.0,172224.0,86592,87676.0,31664,27958,44426,42243,3652
负债合计(万元),16518169.0,16192955.0,15602160.0,15148413.0,10162402.0,9704426.0,10484362.0,8694016.0,7281031.0,8027564.0,8933326.0,8645219.0,7456063.0,7164805.0,7593145.0,7206854.0,5786546.0,5959929.0,5846745.0,6424049.0,5457104.0,6540224.0,6748505.0,6497077.0,6019957.0,7482228.0,7074645.0,6913489,4841219.0,5217034,4913565,4530834.0,3548469,3081826.0,2948525.0,2702533,2474852.0,2591078,2825800,2371344,1885146,1485791
实收资本(或股本)(万元),656105.0,654816.0,651964.0,646568.0,645877.0,645055.0,642493.0,426739.0,426684.0,426571.0,429012.0,421581.0,421581.0,421581.0,421581.0,168632.0,168632.0,168632.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000,100000.0,100000,100000,100000.0,100000,100000.0,100000.0,100000,100000.0,100000,100000,100000,100000,50000
